UNKNOWN
version=1
nRows=1501
nColumns=3
inDegrees=no
endheader
time	time	ground_force_vy
      0.00000000	      0.00000000	    745.46611420
      1.00000000	      0.00170000	    743.09734130
      2.00000000	      0.00330000	    740.71354920
      3.00000000	      0.00500000	    738.29961540
      4.00000000	      0.00670000	    735.84019380
      5.00000000	      0.00830000	    733.31961480
      6.00000000	      0.01000000	    730.72185140
      7.00000000	      0.01170000	    728.03045660
      8.00000000	      0.01330000	    725.22860880
      9.00000000	      0.01500000	    722.29916050
     10.00000000	      0.01670000	    719.22473730
     11.00000000	      0.01830000	    715.98789590
     12.00000000	      0.02000000	    712.57131960
     13.00000000	      0.02170000	    708.95805860
     14.00000000	      0.02330000	    705.13175640
     15.00000000	      0.02500000	    701.07700110
     16.00000000	      0.02670000	    696.77959500
     17.00000000	      0.02830000	    692.22685690
     18.00000000	      0.03000000	    687.40792120
     19.00000000	      0.03170000	    682.31399530
     20.00000000	      0.03330000	    676.93856610
     21.00000000	      0.03500000	    671.27758150
     22.00000000	      0.03670000	    665.32959320
     23.00000000	      0.03830000	    659.09573640
     24.00000000	      0.04000000	    652.57978670
     25.00000000	      0.04170000	    645.78802220
     26.00000000	      0.04330000	    638.72905850
     27.00000000	      0.04500000	    631.41363290
     28.00000000	      0.04670000	    623.85432320
     29.00000000	      0.04830000	    616.06520700
     30.00000000	      0.05000000	    608.06151510
     31.00000000	      0.05170000	    599.85926180
     32.00000000	      0.05330000	    591.47478050
     33.00000000	      0.05500000	    582.92438520
     34.00000000	      0.05670000	    574.22394000
     35.00000000	      0.05830000	    565.38850970
     36.00000000	      0.06000000	    556.43204600
     37.00000000	      0.06170000	    547.36710560
     38.00000000	      0.06330000	    538.20462260
     39.00000000	      0.06500000	    528.95372940
     40.00000000	      0.06670000	    519.62170530
     41.00000000	      0.06830000	    510.21389290
     42.00000000	      0.07000000	    500.73380230
     43.00000000	      0.07170000	    491.18322930
     44.00000000	      0.07330000	    481.56244800
     45.00000000	      0.07500000	    471.87047200
     46.00000000	      0.07670000	    462.10536600
     47.00000000	      0.07830000	    452.26462060
     48.00000000	      0.08000000	    442.34553800
     49.00000000	      0.08170000	    432.34566260
     50.00000000	      0.08330000	    422.26316960
     51.00000000	      0.08500000	    412.09728730
     52.00000000	      0.08670000	    401.84861360
     53.00000000	      0.08830000	    391.51942540
     54.00000000	      0.09000000	    381.11390920
     55.00000000	      0.09170000	    370.63828110
     56.00000000	      0.09330000	    360.10087320
     57.00000000	      0.09500000	    349.51206260
     58.00000000	      0.09670000	    338.88413840
     59.00000000	      0.09830000	    328.23106600
     60.00000000	      0.10000000	    317.56819010
     61.00000000	      0.10170000	    306.91185940
     62.00000000	      0.10330000	    296.27902990
     63.00000000	      0.10500000	    285.68685410
     64.00000000	      0.10670000	    275.15223290
     65.00000000	      0.10830000	    264.69148630
     66.00000000	      0.11000000	    254.31996430
     67.00000000	      0.11170000	    244.05178600
     68.00000000	      0.11330000	    233.89966380
     69.00000000	      0.11500000	    223.87482210
     70.00000000	      0.11670000	    213.98698030
     71.00000000	      0.11830000	    204.24445310
     72.00000000	      0.12000000	    194.65433620
     73.00000000	      0.12170000	    185.22270250
     74.00000000	      0.12330000	    175.95496030
     75.00000000	      0.12500000	    166.85613450
     76.00000000	      0.12670000	    157.93123200
     77.00000000	      0.12830000	    149.18555020
     78.00000000	      0.13000000	    140.62499270
     79.00000000	      0.13170000	    132.25627590
     80.00000000	      0.13330000	    124.08708200
     81.00000000	      0.13500000	    116.12617250
     82.00000000	      0.13670000	    108.38332090
     83.00000000	      0.13830000	    100.86926950
     84.00000000	      0.14000000	     93.59552711
     85.00000000	      0.14170000	     86.57412231
     86.00000000	      0.14330000	     79.81726132
     87.00000000	      0.14500000	     73.33696882
     88.00000000	      0.14670000	     67.14470170
     89.00000000	      0.14830000	     61.25089518
     90.00000000	      0.15000000	     55.66466762
     91.00000000	      0.15170000	     50.39336193
     92.00000000	      0.15330000	     45.44230567
     93.00000000	      0.15500000	     40.81453228
